SPEC Algorytmy i technologie internetwoe 1
PODSTAWY KRYPTOGRAFII,3,15,15,0,0,0,e
PRZETWARZANIE DANYCH W BIZNESIE,4,15,0,30,0,0,e
ZAAWANSOWANE TECHNIKI OBIEKTOWE,2,15,0,15,0,15,z
ZARZ¥DZANIE EWOLUCJ¥ SYSTEMÓW INFORMAC.,2,15,0,0,15,0,e
Zarz¹dzanie produktem w bran¿y IT,1,0,0,0,0,15,z
Pobierz karty zaznaczonych przedmiotów

>Semestr: 3
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
PRACA DYPLOMOWA MAGISTERSKA-II,14,0,0,0,0,0,z
STRATEGIE INFORMATYZACJI,4,15,0,0,0,15,e
TECHNOLOGIE SPO£ECZEÑSTWA INFORMAC.(P),4,0,0,0,15,15,e
ZARZ¥DZANIE BEZPIECZEÑSTWEM INFORMACJI,3,15,0,0,15,0,z


SPEC Sieci Komputerowe ,1
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
BADANIA OPERACYJNE,5,30,15,0,0,0,e
MECHANIZMY MIKROEKONOMICZNE W STI,4,15,0,0,0,15,e
PODSTAWY ANALIZY RYNKÓW KAPITA£OWYCH,1,15,0,0,0,0,z
PROJEKT GRUPOWY,4,0,0,0,30,0,z
SIECI ETHERNET,4,15,0,15,15,15,e
SIECIOWE SYSTEMY OPERACYJNE,2,15,0,15,0,0,z
SYSTEMY OBLICZENIOWE WYSOKIEJ WYDAJNOŒC,4,15,0,15,0,0,z
TECHNOLOGIE MAP CYFROWYCH,2,15,0,15,15,0,z
TECHNOLOGIE PRZETWARZANIA DANYCH PRZEST,4,30,0,15,0,0,e
Pobierz karty zaznaczonych przedmiotów

>Semestr: 2BIE¯¥CY SEMESTR
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
ELEMENTY BIOINFORMATYKI,3,15,0,0,15,0,z
METODY ANALIZY STI,2,15,15,0,0,0,z
METODY KLASYFIKACJI DANYCH GEOINFORMATY,3,15,0,0,15,0,e
MOBILNE APLIKACJE MULTIMEDIALNE,2,15,0,15,15,0,z
MODELOWANIE I MIERNICTWO STI,3,15,15,0,0,0,e
MODELOWANIE I SYMULACJA SYSTEMÓW-(INF),5,30,0,15,0,0,e
PRACA DYPLOMOWA MAGISTERSKA - I,5,0,0,0,0,0,z
PROJEKT GRUPOWY,2,0,0,0,30,0,z
TECHNOLOGIE INTERNETOWE W APLIK.MOBIL.,2,15,0,15,0,0,z
WIELOUS£UGOWE ARCHITEKTURY IP,2,15,0,0,15,0,e
ZARZ¥DZANIE ŒRODOWISKIEM CHMUROWYM,1,10,0,5,0,0,z
Pobierz karty zaznaczonych przedmiotów

>Semestr: 3
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
MEDIA KOMUNIKACYJNE,3,15,0,15,0,0,z
OPROG.KOMUNIKACYJNE DLA INTERNETU RZECZY,4,15,0,15,15,0,e
PRACA DYPLOMOWA MAGISTERSKA-II,14,0,0,0,0,0,z
TECHNOLOGIE SPO£ECZEÑSTWA INFORMAC.(P),4,0,0,0,15,15,e


SPEC Sieci Komputerowe ,2
Nazwa przedmiotu,ECTS,W,C,L,P,S,Zal.
AUTOMATYZACJA PROCESÓW BIZNESOWYCH,2,15,0,0,15,0,e
